,word
0,2b2trans
1,2lgbtqias
2,2nite
3,aam
4,abbasi
5,abstrak
6,ade
7,adha
8,ael
9,ako
10,aku
11,aly
12,anarcha
13,anda
14,andalus
15,apa
16,as1anslgbt2
17,askip
18,assh0le
19,atonia
20,autsti
21,awwww
22,ay
23,bagus
24,bahan
25,bajan
26,basta
27,bearagon
28,behan
29,bencana
30,benda
31,berat
32,biden
33,bonang
34,bradbury
35,brancher
36,brexit
37,briton
38,broduil
39,cardia
40,carlin
41,cee
42,cfp
43,chakra
44,charle
45,chauvin
46,chay
47,chaya
48,chica
49,chucky
50,clawdeen
51,cleo
52,corruptor
53,covid
54,covid-19
55,cpa
56,crockett
57,cupcakke
58,daphshe
59,dari
60,dragulaura
61,elysia
62,etcnon
63,faham
64,fair1
65,familia
66,fascistspro
67,feminin
68,fication
69,fil
70,firefang
71,fishman
72,furrie
73,gaymo
74,gc
75,georgiafreedom
76,gette
77,goldwater
78,goli
79,gop
80,grat
81,grian
82,grt
83,gta
84,gue
85,hahaha
86,hairdress
87,hak
88,hamadani
89,hao
90,hoi
91,hud
92,ig
93,inb4
94,ini
95,iquity
96,isak
97,jure
98,jynx
99,kadhi
100,kaidan
101,kal
102,kalo
103,karlsberg
104,kashi
105,kenasia
106,kenisha
107,khutbah
108,koda
109,kulah
110,kulit
111,kurd
112,l3sbians
113,latifi
114,lesbianaclaw
115,lesbianlie
116,lgbtabc123xyz
117,lgbtiqa
118,lgbtliberty
119,lgbtq
120,lgbtq2
121,lgbtqia2
122,lgbt÷
123,lik
124,lipsky
125,localizer
126,looney
127,loverjupiter
128,lvt
129,ly
130,maga
131,mang
132,mannan
133,mansouri
134,masa
135,mau
136,mec
137,meio
138,merc
139,misandry
140,mitsuba
141,monogramme
142,mou
143,naam
144,nakong
145,nea
146,nep
147,nivea
148,nye
149,nyo
150,oda
151,oldsthese
152,ortho
153,pansim
154,pantalon
155,passionifyco
156,peasy
157,peele
158,pepperidge
159,polska
160,pongorma
161,positivi
162,potong
163,ppls
164,proship
165,proshpped0
166,psa
167,pst
168,purga
169,quebical
170,queerbaiting
171,quei
172,quigley
173,ransel
174,rated18
175,reis
176,ret
177,rogan
178,rostow
179,rp
180,rrow
181,sabina
182,sadr
183,sama
184,sandinista
185,saya
186,seung
187,shaykh
188,sisi
189,skłodowska
190,sok
191,sooo
192,soooo
193,spiegel
194,spina
195,stylo
196,su1c1de
197,tec
198,thanksgive
199,themis
200,titanbi
201,toon
202,utili
203,vag
204,vinny
205,wha
206,wickham
207,wtttffffff
208,ww2
209,xtian
210,yagi
211,zacatecas
212,zahra
213,新人vtuber
